"tagID","projectID","tsStart","tsEnd","tsStartCode","tsEndCode"
9930,3,1410062400,1428475227.14793,1,3
9931,3,1410062400,1428474958.98128,1,3
9932,3,1410062400,1428475093.06568,1,3
9933,3,1409716800,1428129560.10707,1,3
9934,49,1411200000,1423098727.44658,1,3
9935,49,1410854400,1422753127.44658,1,3
9936,49,1411027200,1422925669.05894,1,3
9937,49,1410768000,1422666727.44658,1,3
9938,49,1411632000,1423530598.25348,1,3
9939,49,1411632000,1423530727.44658,1,3
9940,49,1411113600,1423012198.25348,1,3
9941,49,1410854400,1422753127.44658,1,3
9942,49,1411459200,1423357927.44658,1,3
9943,49,1411632000,1423530598.25348,1,3
9944,49,1410768000,1422666598.25348,1,3
9945,49,1410854400,1422752998.25348,1,3
9946,49,1410768000,1422666598.25348,1,3
9947,49,1410854400,1422753127.44658,1,3
9948,49,1411718400,1423616998.25348,1,3
9949,49,1411459200,1423357927.44658,1,3
9950,49,1410854400,1422753127.44658,1,3
9951,49,1410854400,1422753256.63826,1,3
9952,49,1411459200,1423357798.25348,1,3
9953,49,1410854400,1422752998.25348,1,3
9954,49,1410854400,1422753127.44658,1,3
9955,49,1411027200,1422925927.44658,1,3
9956,49,1410854400,1422752998.25348,1,3
9957,49,1411603200,1423501927.44658,1,3
9958,49,1410768000,1429180491.93828,1,3
9959,49,1405411200,1423823423.76092,1,3
9960,49,1405411200,1423824228.26729,1,3
9961,49,1410768000,1429180693.06568,1,3
9962,49,1405411200,1423823960.10707,1,3
9963,49,1406102400,1424514757.85067,1,3
9964,49,1410768000,1429180827.14793,1,3
9965,49,1405411200,1423823893.06568,1,3
9966,49,1410768000,1429180760.10707,1,3
9967,49,1405411200,1423823960.10707,1,3
9968,49,1405584000,1423996693.06568,1,3
9969,49,1405584000,1423996827.14793,1,3
9970,49,1405584000,1423996760.10707,1,3
9971,49,1410768000,1429180894.18825,1,3
9972,49,1406102400,1424515294.18825,1,3
9973,49,1406188800,1424601426.02375,1,3
9974,49,1405584000,1423996693.06568,1,3
9975,49,1406102400,1424515160.10707,1,3
9976,49,1410768000,1429180760.10707,1,3
9977,49,1405584000,1423996693.06568,1,3
9978,49,1410854400,1429267227.14793,1,3
9979,49,1406102400,1424515093.06568,1,3
9980,49,1411718400,1430131093.06568,1,3
9981,49,1406102400,1424515093.06568,1,3
9982,363,1406102400,1417140863.34834,1,3
9983,363,1406102400,1417140943.91926,1,3
9984,363,1410854400,1421892879.4628,1,3
9985,363,1406016000,1417054479.4628,1,3
9986,363,1406016000,1417054503.63423,1,3
9987,363,1406016000,1417054543.91926,1,3
